Inlet,ExchangeFlow,ExchangeFlow_err,VerticalTransport,VerticalTransport_err,Photosynthesis,Photosynthesis_err,Consumption,Consumption_err,d/dt(DO),d/dt(DO)_err,PhysicalResupply,PhysicalResupply_err,NetEcosystemMetabolism,NetEcosystemMetabolism_err,SepOctDeepDO[mg/L],SepOctDeepDO_err[mg/L],MeanDepth[m],DOin-DOdeep[mg/L],DOin-DOdeep_err[mg/L],Inflow no normalization [kmol/s],Inlet volume [m3]
Crescent Harbor,2.682580061907184,0.8105192889066357,-2.680934173897758,0.7960694735188831,0.07397712735294917,0.019722887896098,-0.10422724716854867,0.021745757753564875,-0.028604231806173466,0.049258967550122996,0.0016458880094260997,0.058997870850140216,-0.030250119815599517,0.020271973877792455,5.2037653878242915,0.6653354347550505,14.566607985584799,0.704478523798877,0.38287108864863806,0.06052905797800294,121034594.17088163
Penn Cove,1.1394632825460052,0.3733311076512107,-1.1477548293350623,0.38422716019374364,0.06930547602707153,0.01300282766116308,-0.09776494421897033,0.01237305211771443,-0.03675101498095614,0.0919695887840221,-0.008291546789057344,0.09436365466533163,-0.028459468191898776,0.02027792713235109,4.82798190479212,0.7388199117023332,19.108720008216853,1.1435654775241455,0.5995712300153345,0.0538469581309338,192134381.23646456
Port Susan,0.3299932041240596,0.0914988244575182,-0.30853768249040026,0.09072567008484259,2.8996892785705396e-06,9.156812790946616e-07,-0.04610400062116515,0.005702341920740993,-0.02464557929822728,0.011189137509013349,0.021455521633659286,0.008649095992531587,-0.046101100931886574,0.005702468556277054,3.992227381520695,0.0846542605908509,46.762469456109464,1.5286910602771115,0.584717145637536,0.2998838375264768,4895187053.129112
Holmes Harbor,0.666395495118069,0.1913543879973309,-0.6385685054074883,0.1942867002821097,0.001200978376137099,0.0004593296078816032,-0.06113556472900302,0.0052243815837183785,-0.03210759664228523,0.023413463607689044,0.027826989710580695,0.02319516191302863,-0.059934586352865936,0.004999132467420221,3.7015485165582573,0.3055426918214159,42.511840290931026,3.375763294537247,0.769767865584103,0.12883489948808516,800237690.4562441
Dabob Bay,0.1880784708342665,0.07886772974829087,-0.17562420498897655,0.07408850156526015,5.244270412270835e-08,1.4975304268262145e-08,-0.01674942794383838,0.000965365569997583,-0.004295109655844294,0.0092668326623041,0.012454265845289957,0.00886240271873139,-0.01674937550113426,0.0009653697291052359,2.9096633780410683,0.3259910322438858,105.77868242792948,2.7979899692981176,0.8757439511230835,0.17300604655257534,5142106408.677154
Dyes Inlet,2.526240589172182,0.7343070432126519,-2.4433490999880445,0.7456024119647077,0.0910535991610919,0.01715308457869351,-0.20915799481992117,0.04841123285836193,-0.03521290647469148,0.04206975060564808,0.08289148918413786,0.06739302535130781,-0.11810439565882926,0.043511114822069145,7.072871442924583,0.2242471196001244,12.902302259726287,-0.13947760573604792,0.3862698939181598,0.06454826665865306,164577667.4454829
Sinclair Inlet,4.938982408350005,1.9570864523553608,-4.970824852151497,1.9479449101837256,0.17261870750621366,0.03654693627457532,-0.18262742695820536,0.045173375542108686,-0.04185116325348381,0.07346087558938968,-0.031842443801492246,0.07152327621856723,-0.010008719451991596,0.029317264578962218,6.663894323188618,0.26998376664132345,12.30385813015023,0.3904509146520016,0.6251098932590842,0.07107031402224599,78635606.5318507
Elliott Bay,0.6564977541545988,0.1342096606026436,-0.6345687371790089,0.1317641602673053,0.0004967621889125128,0.0001305756577356612,-0.041879471666227,0.007235874064364769,-0.019453692501724473,0.027797344319309324,0.021929016975589997,0.026660203059766168,-0.04138270947731449,0.007212185995918495,4.922106058189928,0.07626311387413792,50.93360779051154,1.322964155892638,0.4528647487175084,0.248725356089168,1521309463.1181695
Lynch Cove,0.2213781940469843,0.052482962820936264,-0.24809185777726217,0.0751906672412619,0.05198981723873144,0.01549317614096837,-0.06095793252251377,0.007451112446667436,-0.03568177901406021,0.05927821222680169,-0.026713663730277868,0.05973817977553566,-0.008968115283782337,0.010278651540061091,1.6338062763488113,0.2061548761058237,24.948729117726355,2.432949206452549,0.8596721002452196,0.044614362478874285,737937885.3096776
Case Inlet,0.7202278221362033,0.21828346192643347,-0.6811208410846429,0.2757514737663719,0.035571803916439285,0.006832567141535566,-0.09734222210564078,0.016970506389181822,-0.022663437137640925,0.09240332035017504,0.03910698105156057,0.09181913434988392,-0.0617704181892015,0.014229955658564582,5.934885277102414,0.37052747158058463,23.973304588580433,1.5816596781835561,1.1100719798458827,0.09074468108325227,526654635.80480415
Carr Inlet,0.5388906249036841,0.1474942858582474,-0.502898158222132,0.1463270771081769,0.0011808407288780827,0.00022233932937441473,-0.06006146136481975,0.010461583612582771,-0.02288815395438957,0.01994194416329642,0.0359924666815521,0.015822024195758417,-0.05888062063594168,0.010428210303477726,5.336162163548145,0.11946960945163006,42.249769843474674,0.8644203987146081,0.46603058523772795,0.19795096220068498,1764112606.2361345
Quartermaster Harbor,1.83170969877407,0.6596493857562271,-1.79057748291833,0.6378002720868888,0.08771178467500586,0.021414678589588915,-0.16880653613318203,0.037092855950422776,-0.03996253560243602,0.14877952596886015,0.04113221585574016,0.14531004676883866,-0.08109475145817618,0.027104300153003823,6.056445038740997,0.31485379516441103,12.901558825916501,0.43648696086198957,0.7250094870877537,0.04653464056624799,129020835.70867847
Commencement Bay,0.9040178014299403,0.3192065835035016,-0.8935443851642405,0.32077607457858864,2.715062466393268e-06,6.90863903163122e-07,-0.030723088974421952,0.003987162598378465,-0.020176078912639596,0.029338081302263015,0.010473416265699646,0.028681787799981408,-0.030720373911955565,0.003987094862995647,4.467678135198301,0.06090876303720354,66.93813258337221,0.9249395068180205,0.36133559657241227,0.3114164019862765,1737589208.3876977
All inlets,1.3341888774997888,1.3061735374563592,-1.3166457546619112,1.3116939360731257,0.04500865879737536,0.05090975706395314,-0.09057979378665057,0.05883218705998396,-0.028022559941119424,0.010007077395219445,0.017543122837877605,0.029307599708154875,-0.0455711349892752,0.029573820209919725,4.824848867998326,1.4552957105648003,36.606121792940755,1.3357601185596009,0.9729583615144465,,
