Inlet,QinDOin,QinDOin_err,QoutDOout,QoutDOout_err,Photosynthesis,Photosynthesis_err,Consumption,Consumption_err,d/dt(DO),d/dt(DO)_err,PhysicalResupply,PhysicalResupply_err,NetEcosystemMetabolism,NetEcosystemMetabolism_err,SepOctInletDO[mg/L],SepOctInletDO_err[mg/L],MeanDepth[m],DOin-DOinlet[mg/L],DOin-DOinlet_err[mg/L],QinDOin_nonorm,Photo_nonorm
Crescent Harbor,1.3824865968235618,0.4173236802120779,-1.6070191680218937,0.4362990638430488,0.2388421011721978,0.06010787199991236,-0.059783669251918185,0.01270222525478058,-0.03303023959255298,0.0795353490115377,-0.22453257119833184,0.07433468352997877,0.17905843192027968,0.04985142728130645,6.089706733201338,0.6289798353434055,14.566607985584799,-0.1714106758982836,0.2977056502959442,0.06052905797800294,0.010455558774861935
Penn Cove,0.7748366667437199,0.25383369480728996,-0.9347689189713203,0.29414694918326034,0.24412210512185925,0.060494310549524505,-0.07109218600216552,0.009284499968723693,-0.03569804935820345,0.10105514851505489,-0.15993225222760016,0.10804828243536624,0.1730299191196937,0.05477872106163434,5.8618756601978355,0.6090417088749324,19.108720008216853,0.1195352217227598,0.50215804318524,0.0538469581309338,0.016965307420768877
Port Susan,0.1693822694303842,0.04702059601908457,-0.2224271849779184,0.06797683902062714,0.07991171021810428,0.015227721963667245,-0.034989133840820086,0.004214305772546349,-0.03437016419036705,0.0426958266217664,-0.053044915547534266,0.03874642976257556,0.04492257637728422,0.012678205632933922,4.858167190538631,0.2091504559932052,46.762469456109464,0.32200952702061036,0.5605724319399097,0.2998838375264768,0.14148690678025422
Holmes Harbor,0.4451368375781827,0.1279119207805518,-0.48531091459462583,0.14063382968884355,0.10228543506520395,0.015994386339345707,-0.04868012256591766,0.003985111799280547,-0.03171497344930261,0.06160951172437756,-0.04017407701644315,0.06378845812193282,0.05360531249928629,0.01571227685518143,4.9259781686439,0.3216375349444064,42.511840290931026,1.92451166284509,0.7563523008700463,0.12883489948808516,0.02960426225845629
Dabob Bay,0.09302457349179744,0.03902808466193834,-0.11017691558492738,0.03565907799190005,0.026103348922723243,0.003509697985579036,-0.016395766385803787,0.0008213889255678124,-0.019498687295571256,0.028215106368993468,-0.017152342093129932,0.028140678980432664,0.009707582536919454,0.0036670555064477373,3.6732846348856247,0.125137056839833,105.77868242792948,1.2540040711788598,0.870299907302413,0.17300604655257534,0.04854742990388245
Dyes Inlet,1.0843546921703757,0.31527958870144496,-1.2675101089343366,0.3676692604031561,0.2635956811553718,0.0677014496708042,-0.09926806542997801,0.022769035218958587,-0.046485357344372626,0.08763342857654537,-0.18315541676396088,0.06200937421681513,0.16432761572539376,0.05147326953038156,7.377359697627575,0.3457196552814586,12.902302259726287,-0.7490860446209366,0.2001844782542629,0.06454826665865306,0.01569222920149475
Sinclair Inlet,2.498835973311636,0.9904022632228117,-2.6683997433295996,0.9976377598000844,0.2968978399403296,0.07872723842381937,-0.1017346864488894,0.024445134914429345,-0.049049959010571825,0.09974204201234618,-0.16956377001796372,0.08120208189418202,0.1951631534914402,0.06029900231635009,6.984019349483175,0.3381270358170203,12.30385813015023,-0.23049230355659725,0.5099789231501707,0.07107031402224599,0.008444404988200257
Elliott Bay,0.4520266639130081,0.09239022437220576,-0.5111656200942872,0.11986669982190944,0.07664296045881193,0.019939424076981706,-0.034850992452116376,0.0062768020706943815,-0.029216284101190072,0.061015723197584956,-0.059138956181279186,0.05250617832486702,0.04179196800669555,0.01576547716917861,5.431053636856065,0.14590909140517175,50.93360779051154,0.5020605321765123,0.4076143486398995,0.248725356089168,0.04217265774119107
Lynch Cove,0.16715103844997253,0.03961296124995864,-0.24728629602012445,0.07068274026327184,0.13057136003496422,0.01777479056779265,-0.04840516653980209,0.00555372109233561,-0.03529716899017563,0.08487571988924396,-0.08013525757015189,0.06807766852326767,0.08216619349516209,0.0174647824723643,3.1478517086209394,0.3853103110346482,24.948729117726355,0.6688405034399608,0.852438656986872,0.044614362478874285,0.034848506701366584
Case Inlet,0.47635458414026016,0.1442369343084479,-0.577266020192991,0.24268604682675474,0.18731238853639473,0.03978421278118697,-0.07061884755214767,0.012388088844709023,-0.03126086470277557,0.11991908241696277,-0.1009114360527308,0.12042083125596963,0.11669354098424711,0.03273207387115226,6.549840947710763,0.31997968543698097,23.973304588580433,0.4132733754536794,1.0595342053985495,0.09074468108325227,0.03568006092578093
Carr Inlet,0.3102202700872781,0.08485751037939851,-0.38381267200812796,0.12603333798724434,0.11029296312750635,0.02797398083415505,-0.04479038039601589,0.007908577202817369,-0.03246343150723692,0.06538664254841114,-0.07359240192084988,0.056345850302397825,0.06550258273149044,0.02318230636208888,5.76830975535592,0.2186767193075742,42.249769843474674,0.1759732067240353,0.4980266739885683,0.19795096220068498,0.07037290458828709
Quartermaster Harbor,0.9971393271672766,0.35892308355358826,-1.1674106528089498,0.3355954272724628,0.311219420587933,0.06436443864964586,-0.09955867494977996,0.021534974404935073,-0.04985675009772326,0.15317426126926864,-0.17027132564167305,0.13254127831357718,0.21166074563815301,0.05211766961016397,6.8783960862637965,0.3703197076157845,12.901558825916501,-0.7958429474298041,0.6859289517967957,0.04653464056624799,0.014522298131922847
Commencement Bay,0.49552560718659056,0.17509445590546588,-0.5628605358053262,0.1725457582669048,0.0444557945378996,0.011224229652349751,-0.026802027427500232,0.0035000124222191236,-0.028243129314700473,0.042031738775393714,-0.06733492861873566,0.042941092094202916,0.017653767110399374,0.008946480433397852,5.0815042043879375,0.15247836319650693,66.93813258337221,-0.020940239040365037,0.32768205670227013,0.3114164019862765,0.027938847397773976
All inlets,0.7189596231149264,0.24869653420216753,-0.8265703654880329,0.24438773806704192,0.16248100837533075,0.09511453050696829,-0.058228439941758074,0.02745494275489602,-0.035091158381134135,0.008345363000846996,-0.1076107423731065,0.06295072539967482,0.10425256843357267,0.06922942709453488,5.586719059521039,1.2080723240154747,36.606121792940755,0.26249506846273235,0.7166760413456945,,
